category_id,comment_count,comments_disabled,days_since_publication,has_description,is_successful,is_sucessfull,likes_ratio,progress,publish_time,ratings_disabled,tags_quantity,title_size,video_error_or_removed
2,357,False,5,True,False,,0.970498474059003,1646,2017-12-12,False,16,62,False
4,65,False,4,True,False,,0.9804644305197199,9717,2018-01-12,False,3,17,False
2,100,False,6,True,False,,0.6179183135704874,34358,2018-02-05,False,17,47,False
3,16,False,4,True,False,,0.2391304347826087,58,2017-11-13,False,1,41,False
0,2001,False,9,True,False,,0.9696941176470588,24644,2017-12-26,False,9,50,False
4,342,False,5,True,False,,0.9865702479338843,4464,2018-01-30,False,23,80,False
1,96,False,6,True,False,,0.9817610062893082,7936,2017-11-09,False,14,46,False
0,5724,False,15,True,False,,0.8784339895451007,52939,2018-05-01,False,15,54,False
2,4664,False,20,True,False,,0.8237170023031949,37914,2018-05-23,False,28,51,False
2,19820,False,7,True,True,,0.929293798154315,615103,2017-11-13,False,4,62,False
2,4576,False,13,True,True,,0.9358463726884779,103172,2018-06-01,False,25,35,False
2,40159,False,7,True,True,,0.9820044296788483,222377,2017-12-16,False,9,39,False
4,1038,False,6,True,False,,0.962640945523706,48389,2017-12-08,False,20,28,False
4,1120,False,6,True,False,,0.9525517691178869,29640,2017-12-09,False,19,22,False
2,5181,False,6,True,False,,0.9299797688852313,18491,2017-11-10,False,6,38,False
3,1665,False,17,True,False,,0.9698336278871351,21799,2018-05-08,False,12,55,False
2,764,False,7,True,False,,0.9819819819819819,22764,2017-11-22,False,28,31,False
4,6,False,14,True,False,,0.9166666666666666,133,2018-01-13,False,15,45,False
2,973,False,2,True,False,,0.5865221808330512,85871,2018-02-27,False,19,25,False
3,335,False,5,True,False,,0.842814371257485,1195,2017-12-10,False,28,42,False
2,3936,False,27,False,False,,0.9936744494121543,13537,2018-05-18,False,1,26,False
3,1059,False,2,True,False,,0.8913616398243045,70960,2018-02-14,False,7,38,False
4,1056,False,1,True,False,,0.9771900501425622,235293,2017-12-17,False,26,52,False
3,65,False,3,True,False,,0.6739130434782609,147,2017-12-12,False,18,65,False
2,7198,False,7,True,True,,0.9906402657099924,185765,2017-12-17,False,27,58,False
2,1041,False,8,True,False,,0.9880633515779667,53505,2018-02-20,False,42,58,False
2,13342,False,4,True,True,,0.8669082198841758,366452,2017-12-03,False,32,21,False
2,887,False,27,True,False,,0.9601194489933532,6410,2018-04-18,False,25,54,False
4,0,True,8,True,True,,0.7995478135758697,715381,2017-11-22,False,29,26,False
2,4378,False,6,True,True,,0.8921521617517781,96802,2018-03-15,False,36,80,False
2,3474,False,7,True,False,,0.8506742261722341,86173,2018-01-05,False,24,30,False
